City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,rawson,-43.3002,-65.1023,14.75,28,83,5.06,AR,1700009477
84,yellowknife,62.456,-114.3525,-7.55,99,100,4.47,CA,1700009478
85,goundam,16.4145,-3.6708,25.12,13,0,3.16,ML,1700009478
86,opuwo,-18.0607,13.84,24.88,34,99,0.91,NA,1700009479
87,port alfred,-33.5906,26.891,15.1,83,14,1.34,ZA,1700009480
88,arraial do cabo,-22.9661,-42.0278,25.98,89,75,4.63,BR,1700009429
89,cheney,47.4874,-117.5758,2.92,74,100,2.06,US,1700009481
90,bambous virieux,-20.3428,57.7575,23.14,100,40,1.54,MU,1700009482
91,boa vista,2.8197,-60.6733,30.99,51,20,3.09,BR,1700009482
92,thompson,55.7435,-97.8558,0.09,93,100,7.2,CA,1700009483
93,provideniya,64.3833,-173.3,-4.8,86,100,7.0,RU,1700009483
94,henties bay,-22.116,14.2845,17.1,85,59,0.73,NA,1700009484
95,port-gentil,-0.7193,8.7815,26.81,77,100,5.38,GA,1700009485
96,harper,4.375,-7.7169,25.65,88,63,2.47,LR,1700009486
97,salta,-24.7859,-65.4117,21.33,66,40,4.63,AR,1700009245
98,butaritari,3.0707,172.7902,28.26,76,100,6.37,KI,1700009487
99,sakaiminato,35.55,133.2333,11.96,87,40,2.57,JP,1700009487
100,samarai,-10.6167,150.6667,26.32,77,56,4.99,PG,1700009488
101,yulara,-25.2406,130.9889,32.99,25,66,7.09,AU,1700009489
102,kruisfontein,-34.0033,24.7314,11.56,89,100,2.93,ZA,1700009490
103,yumen,40.2833,97.2,-2.66,88,33,9.5,CN,1700009490
104,redcar,54.6166,-1.06,10.19,90,100,1.79,GB,1700009491
105,mana,5.6592,-53.7767,26.35,88,13,3.39,GF,1700009492
106,kelowna,49.8831,-119.4857,5.98,59,0,2.57,CA,1700009350
107,san francisco,37.7749,-122.4194,20.78,64,100,3.13,US,1700009455
108,hilo,19.7297,-155.09,26.27,85,100,6.69,US,1700009211
109,nouadhibou,20.931,-17.0347,26.99,24,30,4.12,MR,1700009494
110,esperance,-33.8667,121.9,16.27,77,100,8.07,AU,1700009495
111,svetlogorsk,52.6333,29.7333,3.2,96,100,1.16,BY,1700009496
112,hami,42.8,93.45,-1.16,49,0,3.03,CN,1700009496
113,jamestown,42.097,-79.2353,3.8,83,0,2.57,US,1700009286
114,kajaani,64.2273,27.7285,-4.97,74,100,3.6,FI,1700009455
115,victoria,22.2855,114.1577,22.36,76,42,3.58,HK,1700009428
116,batagay-alyta,67.8006,130.4114,-13.28,87,100,0.86,RU,1700009499
117,kalugumalai,9.15,77.7167,24.3,88,100,0.87,IN,1700009455
118,korsakov,46.6328,142.7813,-0.09,48,54,1.54,RU,1700009500
119,iberia,29.9502,-91.7507,16.04,88,100,4.63,US,1700009501
120,cayenne,4.9333,-52.3333,26.02,94,20,1.03,GF,1700009501
121,vrangel,42.7297,133.0839,3.32,44,2,2.21,RU,1700009502
122,san jose,37.3394,-121.895,21.05,56,0,2.57,US,1700009400
123,new iberia,30.0035,-91.8187,16.04,88,100,4.63,US,1700009457
124,makakilo city,21.3469,-158.0858,28.18,56,0,9.26,US,1700009504
125,sakakah,29.9697,40.2064,16.76,68,33,2.89,SA,1700009505
126,ljungby,56.8332,13.9408,2.23,85,100,4.33,SE,1700009506
127,tatvan,38.5067,42.2817,8.41,89,100,1.48,TR,1700009507
128,luoyang,34.6836,112.4536,9.76,50,100,1.66,CN,1700009507
129,cherskiy,68.75,161.3,-20.77,94,100,4.31,RU,1700009508
130,east london,-33.0153,27.9116,16.53,74,14,7.9,ZA,1700009509
131,ligayan,4.6533,119.4706,28.7,73,11,0.75,PH,1700009511
132,gaoua,10.2992,-3.2508,23.66,23,1,0.97,BF,1700009511
133,hermanus,-34.4187,19.2345,17.69,69,7,4.93,ZA,1700009512
134,broken hill,-31.95,141.4333,24.28,32,100,2.01,AU,1700009512
135,fare,-16.7,-151.0167,26.76,80,100,6.73,PF,1700009513
136,ostrovnoy,68.0531,39.5131,-2.91,83,100,3.47,RU,1700009514
137,methoni,36.8197,21.7049,16.23,75,87,6.09,GR,1700009515
138,tasiilaq,65.6145,-37.6368,0.09,94,100,11.92,GL,1700009515
139,cabo san lucas,22.8909,-109.9124,29.23,70,75,2.06,MX,1700009146
140,nome,64.5011,-165.4064,-2.96,80,100,4.63,US,1700009516
141,zhezkazgan,47.8043,67.7144,-3.01,93,20,7.0,KZ,1700009518
142,pisco,-13.7,-76.2167,19.45,82,0,8.75,PE,1700009518
143,necochea,-38.5473,-58.7368,9.59,69,91,4.3,AR,1700009519
144,mehamn,71.0357,27.8492,1.95,86,100,10.8,NO,1700009520
145,saskylakh,71.9167,114.0833,-9.9,87,100,7.89,RU,1700009520
146,lagoa,39.05,-27.9833,19.78,86,100,9.62,PT,1700009521
147,vryburg,-26.9566,24.7284,18.99,60,4,6.36,ZA,1700009521
148,channel-port aux basques,47.5702,-59.1367,1.55,72,100,3.81,CA,1700009522
149,kyren,51.6828,102.1408,-8.92,94,92,0.89,RU,1700009523
150,nowy tomysl,52.3195,16.1284,10.14,90,99,5.06,PL,1700009333
151,erzin,36.9559,36.2,17.21,74,0,1.84,TR,1700009526
152,atuona,-9.8,-139.0333,26.71,73,7,5.15,PF,1700009527
153,muros,42.7762,-9.0603,15.05,95,98,1.95,ES,1700009528
154,norman wells,65.282,-126.8329,-8.98,92,100,4.12,CA,1700009529
155,bambanglipuro,-7.95,110.2833,26.9,82,96,4.62,ID,1700009530
156,saint george,37.1041,-113.5841,22.33,26,0,2.06,US,1700009531
157,krasnoselkup,65.7,82.4667,-6.57,95,100,8.24,RU,1700009531
158,paamiut,61.994,-49.6678,-4.6,81,15,6.65,GL,1700009532
159,kampot,10.6167,104.1833,28.03,86,17,4.19,KH,1700009532
160,brooks,50.5834,-111.8851,2.99,35,84,2.06,CA,1700009406
161,ossora,59.2353,163.0719,-12.81,81,37,3.69,RU,1700009534
162,puerto ayacucho,5.6639,-67.6236,26.5,83,100,1.36,VE,1700009534
163,aldan,58.6031,125.3894,-6.56,92,99,3.24,RU,1700009535
164,plyussa,58.4308,29.3654,-1.78,94,22,1.35,RU,1700009536
